X	Predicted.sequence.orientation	Kingdom	Kingdom.certainty	Phylum	Phylum.certainty	Class	Class.certainty	Order	Order.certainty	Family	Family.certainty	Genus	Genus.certainty	Species	Species.certainty
ASV_1	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	93%
ASV_2	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Typhulaceae	100%	Typhula	100%	Typhula_sp_UW98_G4|SH208568.06FU	100%
ASV_3	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	93%
ASV_4	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Typhulaceae	100%	Typhula	100%	Typhula_sp_UW98_G4|SH208568.06FU	100%
ASV_5	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	99%	Agaricales	99%	Psathyrellaceae	99%	Coprinellus	99%	Coprinellus_sp|SH199708.06FU	88%
ASV_6	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Typhulaceae	100%	Typhula	100%	Typhula_sp_UW98_G4|SH208568.06FU	100%
ASV_7	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	99%	Agaricales	99%	Psathyrellaceae	99%	Coprinellus	99%	Coprinellus_sp|SH199708.06FU	88%
ASV_8	-	Fungi	100%	Basidiomycota	93%	Agaricomycetes	92%	Agaricomycetes_unidentified	56%	Agaricomycetes_unidentified_1	56%	Agaricomycetes_unidentified_1	56%	Agaricomycetes_sp|SH199701.06FU	56%
ASV_9	-	Fungi	100%	Basidiomycota	99%	Agaricomycetes	99%	Agaricales	99%	Psathyrellaceae	99%	Coprinellus	99%	Coprinellus_sp|SH199708.06FU	90%
ASV_10	+	Fungi	100%	Basidiomycota	99%	Agaricomycetes	99%	Agaricales	99%	Psathyrellaceae	99%	Coprinellus	99%	Coprinellus_sp|SH199708.06FU	90%
ASV_11	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Typhulaceae	100%	Typhula	100%	Typhula_sp_UW98_G4|SH208568.06FU	100%
ASV_12	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Typhulaceae	100%	Typhula	100%	Typhula_sp_UW98_G4|SH208568.06FU	100%
ASV_13	-	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellales_unidentified	40%	Mortierellales_unidentified_1	40%	Mortierellales_sp|SH228362.06FU	40%
ASV_14	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	87%
ASV_15	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	90%
ASV_16	-	Fungi	100%	Basidiomycota	99%	Agaricomycetes	99%	Agaricales	99%	Psathyrellaceae	99%	Coprinellus	99%	Coprinellus_sp|SH199708.06FU	88%
ASV_17	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	89%
ASV_18	-	Fungi	100%	Basidiomycota	81%	Agaricomycetes	77%	Agaricomycetes_unidentified	33%	Agaricomycetes_unidentified_1	33%	Agaricomycetes_unidentified_1	33%	Agaricomycetes_sp|SH218253.06FU	33%
ASV_19	-	Fungi	100%	Zygomycota	57%	Incertae_sedis_10	57%	Mortierellales	57%	Mortierellaceae	56%	Mortierella	56%	Mortierella_sp|SH214852.06FU	41%
ASV_20	+	Fungi	100%	Zygomycota	59%	Incertae_sedis_10	59%	Mortierellales	59%	Mortierellaceae	59%	Mortierella	59%	Mortierella_sp|SH214852.06FU	46%
ASV_21	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	91%
ASV_22	-	Fungi	100%	Fungi_unidentified	49%	Fungi_unidentified_1	49%	Fungi_unidentified_1	49%	Fungi_unidentified_1_1	49%	Fungi_unidentified_1_1	49%	Fungi_sp|SH217408.06FU	43%
ASV_23	+	Fungi	100%	Fungi_unidentified	51%	Fungi_unidentified_1	51%	Fungi_unidentified_1	51%	Fungi_unidentified_1_1	51%	Fungi_unidentified_1_1	51%	Fungi_sp|SH217408.06FU	41%
ASV_24	-	Fungi	100%	Zygomycota	63%	Incertae_sedis_10	63%	Mortierellales	63%	Mortierellaceae	63%	Mortierella	63%	Mortierella_sp|SH214852.06FU	47%
ASV_25	-	Fungi	100%	Basidiomycota	91%	Tremellomycetes	85%	Cystofilobasidiales	84%	Cystofilobasidiaceae	84%	Guehomyces	70%	Guehomyces_pullulans|SH215066.06FU	70%
ASV_26	-	Fungi	100%	Basidiomycota	92%	Tremellomycetes	80%	Cystofilobasidiales	70%	Cystofilobasidiaceae	70%	Guehomyces	62%	Guehomyces_pullulans|SH215066.06FU	62%
ASV_27	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Bolbitiaceae	100%	Conocybe	100%	Conocybe_crispa|SH208914.06FU	98%
ASV_28	+	Fungi	100%	Basidiomycota	87%	Tremellomycetes	75%	Cystofilobasidiales	65%	Cystofilobasidiaceae	65%	Guehomyces	55%	Guehomyces_pullulans|SH215066.06FU	55%
ASV_29	-	Fungi	100%	Basidiomycota	99%	Agaricomycetes	99%	Agaricales	99%	Psathyrellaceae	99%	Coprinellus	99%	Coprinellus_sp|SH199708.06FU	87%
ASV_30	+	Fungi	100%	Basidiomycota	99%	Agaricomycetes	99%	Agaricales	99%	Psathyrellaceae	99%	Coprinellus	99%	Coprinellus_sp|SH199708.06FU	89%
ASV_31	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	90%
ASV_32	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	92%
ASV_33	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	93%
ASV_34	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	88%
ASV_35	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	92%
ASV_36	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	89%
ASV_37	-	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellales_unidentified	40%	Mortierellales_unidentified_1	40%	Mortierellales_sp|SH228362.06FU	40%
ASV_38	+	Fungi	100%	Fungi_unidentified	51%	Fungi_unidentified_1	51%	Fungi_unidentified_1	51%	Fungi_unidentified_1_1	51%	Fungi_unidentified_1_1	51%	Fungi_sp|SH217408.06FU	41%
ASV_39	-	Fungi	100%	Ascomycota	97%	Ascomycota_unidentified	15%	Ascomycota_unidentified_1	15%	Ascomycota_unidentified_1	15%	Ascomycota_unidentified_1_1	15%	Ascomycota_sp|SH223423.06FU	12%
ASV_40	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	90%
ASV_41	+	Fungi	100%	Ascomycota	93%	Ascomycota_unidentified	17%	Ascomycota_unidentified_1	17%	Ascomycota_unidentified_1	17%	Ascomycota_unidentified_1_1	17%	Ascomycota_sp|SH223423.06FU	15%
ASV_42	+	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellaceae	65%	Mortierella	65%	Mortierella_sp_ATT116|SH218048.06FU	34%
ASV_43	+	Fungi	100%	Zygomycota	69%	Incertae_sedis_10	69%	Mortierellales	69%	Mortierellaceae	69%	Mortierella	69%	Mortierella_sp|SH214852.06FU	46%
ASV_44	-	Fungi	100%	Zygomycota	65%	Incertae_sedis_10	65%	Mortierellales	65%	Mortierellaceae	65%	Mortierella	65%	Mortierella_sp|SH214852.06FU	45%
ASV_45	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	89%
ASV_46	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	89%
ASV_47	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	86%
ASV_48	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	91%
ASV_49	-	Fungi	100%	Fungi_unidentified	46%	Fungi_unidentified_1	46%	Fungi_unidentified_1	46%	Fungi_unidentified_1_1	46%	Fungi_unidentified_1_1	46%	Fungi_sp|SH217408.06FU	40%
ASV_50	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	87%
ASV_51	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	87%
ASV_52	-	Fungi	100%	Ascomycota	96%	Dothideomycetes	31%	Dothideomycetes_unidentified	31%	Dothideomycetes_unidentified_1	31%	Dothideomycetes_unidentified_1	31%	Dothideomycetes_sp|SH216443.06FU	31%
ASV_53	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	92%
ASV_54	-	Fungi	100%	Zygomycota	52%	Incertae_sedis_10	52%	Mortierellales	52%	Mortierellaceae	51%	Mortierella	51%	Mortierella_sp|SH214852.06FU	48%
ASV_55	+	Fungi	100%	Zygomycota	55%	Incertae_sedis_10	55%	Mortierellales	55%	Mortierellaceae	55%	Mortierella	55%	Mortierella_sp|SH214852.06FU	50%
ASV_56	+	Fungi	100%	Ascomycota	90%	Dothideomycetes	34%	Dothideomycetes_unidentified	32%	Dothideomycetes_unidentified_1	32%	Dothideomycetes_unidentified_1	32%	Dothideomycetes_sp|SH216443.06FU	32%
ASV_57	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	93%
ASV_58	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	91%
ASV_59	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	89%
ASV_60	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	88%
ASV_61	-	Fungi	100%	Chytridiomycota	16%	Chytridiomycota_unidentified	15%	Chytridiomycota_unidentified_1	15%	Chytridiomycota_unidentified_1	15%	Chytridiomycota_unidentified_1_1	15%	Chytridiomycota_sp|SH233268.06FU	15%
ASV_62	-	Fungi	100%	Basidiomycota	87%	Agaricomycetes	85%	Agaricales	78%	Bolbitiaceae	65%	Conocybe	65%	Conocybe_aff_ochrostriata_NL_0830|SH193116.06FU	64%
ASV_63	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	93%
ASV_64	-	Fungi	100%	Basidiomycota	99%	Agaricomycetes	99%	Agaricales	99%	Psathyrellaceae	99%	Coprinellus	99%	Coprinellus_sp|SH199708.06FU	92%
ASV_65	-	Fungi	100%	Fungi_unidentified	92%	Fungi_unidentified_1	92%	Fungi_unidentified_1	92%	Fungi_unidentified_1_1	92%	Fungi_unidentified_1_1	92%	Fungi_sp|SH226967.06FU	91%
ASV_66	+	Fungi	100%	Basidiomycota	98%	Agaricomycetes	98%	Agaricales	98%	Psathyrellaceae	98%	Coprinellus	98%	Coprinellus_sp|SH199708.06FU	89%
ASV_67	-	Fungi	100%	Basidiomycota	99%	Agaricomycetes	99%	Agaricales	99%	Psathyrellaceae	99%	Coprinellus	99%	Coprinellus_sp|SH199708.06FU	84%
ASV_68	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	91%
ASV_69	-	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellaceae	74%	Mortierella	74%	Mortierella_sp_ATT116|SH218048.06FU	42%
ASV_70	+	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellaceae	79%	Mortierella	79%	Mortierella_sp_ATT116|SH218048.06FU	40%
ASV_71	+	Fungi	100%	Fungi_unidentified	95%	Fungi_unidentified_1	95%	Fungi_unidentified_1	95%	Fungi_unidentified_1_1	95%	Fungi_unidentified_1_1	95%	Fungi_sp|SH226967.06FU	94%
ASV_72	+	Fungi	100%	Fungi_unidentified	47%	Fungi_unidentified_1	47%	Fungi_unidentified_1	47%	Fungi_unidentified_1_1	47%	Fungi_unidentified_1_1	47%	Fungi_sp|SH217408.06FU	40%
ASV_73	+	Fungi	100%	Basidiomycota	98%	Agaricomycetes	98%	Agaricales	98%	Psathyrellaceae	98%	Coprinellus	98%	Coprinellus_sp|SH199708.06FU	86%
ASV_74	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	89%
ASV_75	-	Fungi	100%	Ascomycota	93%	Dothideomycetes	41%	Dothideomycetes_unidentified	41%	Dothideomycetes_unidentified_1	41%	Dothideomycetes_unidentified_1	41%	Dothideomycetes_sp|SH216443.06FU	41%
ASV_76	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	87%
ASV_77	-	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellales_unidentified	40%	Mortierellales_unidentified_1	40%	Mortierellales_sp|SH228362.06FU	40%
ASV_78	-	Fungi	100%	Ascomycota	97%	Sordariomycetes	95%	Sordariomycetes_unidentified	85%	Sordariomycetes_unidentified_1	85%	Sordariomycetes_unidentified_1	85%	Sordariomycetes_sp|SH233630.06FU	85%
ASV_79	+	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellales_unidentified	38%	Mortierellales_unidentified_1	38%	Mortierellales_sp|SH228362.06FU	38%
ASV_80	-	Fungi	100%	Basidiomycota	99%	Agaricomycetes	99%	Agaricales	99%	Psathyrellaceae	99%	Coprinellus	99%	Coprinellus_sp|SH199708.06FU	86%
ASV_81	-	Fungi	100%	Fungi_unidentified	52%	Fungi_unidentified_1	52%	Fungi_unidentified_1	52%	Fungi_unidentified_1_1	52%	Fungi_unidentified_1_1	52%	Fungi_sp|SH217408.06FU	48%
ASV_82	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	93%
ASV_83	+	Fungi	100%	Ascomycota	77%	Sordariomycetes	77%	Sordariales	77%	Chaetomiaceae	77%	Trichocladium	77%	Trichocladium_asperum|SH234966.06FU	77%
ASV_84	-	Fungi	100%	Ascomycota	76%	Sordariomycetes	76%	Incertae_sedis_7	40%	Plectosphaerellaceae	40%	Gibellulopsis	38%	Gibellulopsis_sp_YH_2012|SH219656.06FU	38%
ASV_85	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	87%
ASV_86	+	Fungi	100%	Ascomycota	96%	Sordariomycetes	94%	Sordariomycetes_unidentified	85%	Sordariomycetes_unidentified_1	85%	Sordariomycetes_unidentified_1	85%	Sordariomycetes_sp|SH233630.06FU	85%
ASV_87	-	Fungi	100%	Ascomycota	79%	Sordariomycetes	79%	Sordariales	79%	Chaetomiaceae	79%	Trichocladium	79%	Trichocladium_asperum|SH234966.06FU	79%
ASV_88	+	Fungi	100%	Ascomycota	81%	Sordariomycetes	81%	Incertae_sedis_7	50%	Plectosphaerellaceae	50%	Gibellulopsis	50%	Gibellulopsis_sp_YH_2012|SH219656.06FU	50%
ASV_89	+	Fungi	100%	Ascomycota	95%	Dothideomycetes	36%	Dothideomycetes_unidentified	36%	Dothideomycetes_unidentified_1	36%	Dothideomycetes_unidentified_1	36%	Dothideomycetes_sp|SH216443.06FU	36%
ASV_90	-	Fungi	100%	Basidiomycota	85%	Agaricomycetes	84%	Agaricomycetes_unidentified	54%	Agaricomycetes_unidentified_1	54%	Agaricomycetes_unidentified_1	54%	Agaricomycetes_sp|SH199701.06FU	54%
ASV_91	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	85%
ASV_92	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	91%
ASV_93	-	Fungi	100%	Zygomycota	61%	Incertae_sedis_10	61%	Mortierellales	61%	Mortierellaceae	61%	Mortierella	61%	Mortierella_sp|SH214852.06FU	45%
ASV_94	-	Fungi	100%	Basidiomycota	77%	Agaricomycetes	73%	Agaricales	68%	Bolbitiaceae	54%	Conocybe	54%	Conocybe_aff_ochrostriata_NL_0830|SH193116.06FU	52%
ASV_95	+	Fungi	100%	Fungi_unidentified	97%	Fungi_unidentified_1	97%	Fungi_unidentified_1	97%	Fungi_unidentified_1_1	97%	Fungi_unidentified_1_1	97%	Fungi_sp|SH195711.06FU	50%
ASV_96	-	Fungi	100%	Ascomycota	97%	Sordariomycetes	95%	Sordariomycetes_unidentified	86%	Sordariomycetes_unidentified_1	86%	Sordariomycetes_unidentified_1	86%	Sordariomycetes_sp|SH233630.06FU	86%
ASV_97	+	Fungi	100%	Ascomycota	79%	Sordariomycetes	79%	Incertae_sedis_7	46%	Plectosphaerellaceae	46%	Gibellulopsis	46%	Gibellulopsis_sp_YH_2012|SH219656.06FU	46%
ASV_98	-	Fungi	100%	Fungi_unidentified	99%	Fungi_unidentified_1	99%	Fungi_unidentified_1	99%	Fungi_unidentified_1_1	99%	Fungi_unidentified_1_1	99%	Fungi_sp|SH195711.06FU	53%
ASV_99	-	Fungi	100%	Zygomycota	53%	Incertae_sedis_10	53%	Mortierellales	53%	Mortierellaceae	53%	Mortierella	53%	Mortierella_sp|SH214852.06FU	46%
ASV_100	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	84%
ASV_101	-	Fungi	100%	Ascomycota	77%	Sordariomycetes	77%	Incertae_sedis_7	40%	Plectosphaerellaceae	40%	Gibellulopsis	38%	Gibellulopsis_sp_YH_2012|SH219656.06FU	38%
ASV_102	+	Fungi	100%	Fungi_unidentified	54%	Fungi_unidentified_1	54%	Fungi_unidentified_1	54%	Fungi_unidentified_1_1	54%	Fungi_unidentified_1_1	54%	Fungi_sp|SH217408.06FU	46%
ASV_103	-	Fungi	100%	Basidiomycota	99%	Agaricomycetes	99%	Agaricales	99%	Psathyrellaceae	99%	Coprinellus	99%	Coprinellus_sp|SH199708.06FU	92%
ASV_104	+	Fungi	100%	Ascomycota	98%	Sordariomycetes	94%	Sordariomycetes_unidentified	88%	Sordariomycetes_unidentified_1	88%	Sordariomycetes_unidentified_1	88%	Sordariomycetes_sp|SH233630.06FU	88%
ASV_105	-	Fungi	100%	Ascomycota	95%	Sordariomycetes	90%	Sordariomycetes_unidentified	84%	Sordariomycetes_unidentified_1	84%	Sordariomycetes_unidentified_1	84%	Sordariomycetes_sp|SH233630.06FU	84%
ASV_106	+	Fungi	100%	Basidiomycota	99%	Agaricomycetes	99%	Agaricales	99%	Psathyrellaceae	99%	Coprinellus	99%	Coprinellus_sp|SH199708.06FU	90%
ASV_107	+	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellaceae	73%	Mortierella	73%	Mortierella_sp_ATT116|SH218048.06FU	45%
ASV_108	-	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellaceae	70%	Mortierella	70%	Mortierella_sp_ATT116|SH218048.06FU	49%
ASV_109	-	Fungi	100%	Fungi_unidentified	54%	Fungi_unidentified_1	54%	Fungi_unidentified_1	54%	Fungi_unidentified_1_1	54%	Fungi_unidentified_1_1	54%	Fungi_sp|SH217408.06FU	50%
ASV_110	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Cantharellales	100%	Incertae_sedis_24	100%	Minimedusa	100%	Minimedusa_sp|SH221764.06FU	69%
ASV_111	-	Fungi	100%	Ascomycota	99%	Dothideomycetes	37%	Dothideomycetes_unidentified	37%	Dothideomycetes_unidentified_1	37%	Dothideomycetes_unidentified_1	37%	Dothideomycetes_sp|SH216443.06FU	37%
ASV_112	+	Fungi	100%	Fungi_unidentified	19%	Fungi_unidentified_1	19%	Fungi_unidentified_1	19%	Fungi_unidentified_1_1	19%	Fungi_unidentified_1_1	19%	Fungi_sp|SH202159.06FU	15%
ASV_113	-	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellaceae	61%	Mortierella	61%	Mortierella_sp_ATT116|SH218048.06FU	37%
ASV_114	+	Fungi	100%	Ascomycota	97%	Dothideomycetes	33%	Dothideomycetes_unidentified	31%	Dothideomycetes_unidentified_1	31%	Dothideomycetes_unidentified_1	31%	Dothideomycetes_sp|SH216443.06FU	31%
ASV_115	+	Fungi	100%	Zygomycota	46%	Incertae_sedis_10	46%	Mortierellales	46%	Mortierellaceae	46%	Mortierella	46%	Mortierella_sp|SH214852.06FU	37%
ASV_116	+	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellaceae	65%	Mortierella	65%	Mortierella_sp_ATT116|SH218048.06FU	32%
ASV_117	-	Fungi	100%	Ascomycota	73%	Dothideomycetes	60%	Pleosporales	60%	Incertae_sedis_13	59%	Phoma	54%	Phoma_sp_P17E3|SH202157.06FU	29%
ASV_118	-	Fungi	100%	Ascomycota	100%	Dothideomycetes	70%	Dothideomycetes_unidentified	70%	Dothideomycetes_unidentified_1	70%	Dothideomycetes_unidentified_1	70%	Dothideomycetes_sp|SH216443.06FU	70%
ASV_119	+	Fungi	100%	Fungi_unidentified	20%	Fungi_unidentified_1	20%	Fungi_unidentified_1	20%	Fungi_unidentified_1_1	20%	Fungi_unidentified_1_1	20%	Fungi_sp|SH202159.06FU	15%
ASV_120	+	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellaceae	84%	Mortierella	84%	Mortierella_sp_ATT116|SH218048.06FU	43%
ASV_121	-	Fungi	100%	Basidiomycota	99%	Agaricomycetes	99%	Agaricales	99%	Psathyrellaceae	99%	Coprinellus	99%	Coprinellus_sp|SH199708.06FU	90%
ASV_122	-	Fungi	100%	Ascomycota	69%	Dothideomycetes	58%	Pleosporales	58%	Incertae_sedis_13	58%	Phoma	53%	Phoma_sp_P17E3|SH202157.06FU	30%
ASV_123	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	86%
ASV_124	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	83%
ASV_125	+	Fungi	100%	Ascomycota	99%	Dothideomycetes	74%	Dothideomycetes_unidentified	74%	Dothideomycetes_unidentified_1	74%	Dothideomycetes_unidentified_1	74%	Dothideomycetes_sp|SH216443.06FU	72%
ASV_126	+	Fungi	100%	Basidiomycota	99%	Agaricomycetes	99%	Agaricales	99%	Psathyrellaceae	99%	Coprinellus	99%	Coprinellus_sp|SH199708.06FU	90%
ASV_127	-	Fungi	100%	Zygomycota	45%	Incertae_sedis_10	45%	Mortierellales	45%	Mortierellaceae	45%	Mortierella	45%	Mortierella_sp|SH214852.06FU	37%
ASV_128	+	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellaceae	73%	Mortierella	73%	Mortierella_sp_ATT116|SH218048.06FU	42%
ASV_129	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Bolbitiaceae	100%	Conocybe	100%	Conocybe_crispa|SH208914.06FU	99%
ASV_130	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	88%
ASV_131	-	Fungi	100%	Basidiomycota	84%	Agaricomycetes	81%	Agaricales	73%	Bolbitiaceae	62%	Conocybe	62%	Conocybe_aff_ochrostriata_NL_0830|SH193116.06FU	61%
ASV_132	-	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellales_unidentified	48%	Mortierellales_unidentified_1	48%	Mortierellales_sp|SH228362.06FU	48%
ASV_133	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	89%
ASV_134	-	Fungi	100%	Zygomycota	62%	Incertae_sedis_10	62%	Mortierellales	62%	Mortierellaceae	62%	Mortierella	62%	Mortierella_sp|SH214852.06FU	49%
ASV_135	+	Fungi	100%	Zygomycota	57%	Incertae_sedis_10	57%	Mortierellales	57%	Mortierellaceae	56%	Mortierella	56%	Mortierella_sp|SH214852.06FU	43%
ASV_136	+	Fungi	100%	Zygomycota	68%	Incertae_sedis_10	68%	Mortierellales	68%	Mortierellaceae	67%	Mortierella	67%	Mortierella_sp|SH214852.06FU	54%
ASV_137	+	Fungi	100%	Fungi_unidentified	97%	Fungi_unidentified_1	97%	Fungi_unidentified_1	97%	Fungi_unidentified_1_1	97%	Fungi_unidentified_1_1	97%	Fungi_sp|SH195711.06FU	49%
ASV_138	-	Fungi	100%	Zygomycota	100%	Incertae_sedis_10	100%	Mortierellales	100%	Mortierellaceae	68%	Mortierella	68%	Mortierella_sp_ATT116|SH218048.06FU	41%
