X	Predicted.sequence.orientation	Kingdom	Kingdom.certainty	Phylum	Phylum.certainty	Class	Class.certainty	Order	Order.certainty	Family	Family.certainty	Genus	Genus.certainty	Species	Species.certainty
ASV_2524	-	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	92%
ASV_2525	-	Fungi	100%	Zygomycota	54%	Incertae_sedis_10	54%	Mortierellales	54%	Mortierellaceae	54%	Mortierella	54%	Mortierella_sp|SH214852.06FU	47%
ASV_2526	-	Fungi	100%	Zygomycota	55%	Incertae_sedis_10	55%	Mortierellales	55%	Mortierellaceae	55%	Mortierella	55%	Mortierella_sp|SH214852.06FU	38%
ASV_2527	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Psathyrellaceae	100%	Coprinellus	100%	Coprinellus_sp|SH199708.06FU	91%
ASV_2528	+	Fungi	100%	Ascomycota	100%	Pezizomycetes	100%	Pezizales	100%	Ascobolaceae	100%	Ascobolus	100%	Ascobolus_sp|SH226965.06FU	100%
ASV_2529	+	Fungi	100%	Zygomycota	49%	Incertae_sedis_10	49%	Mortierellales	49%	Mortierellaceae	49%	Mortierella	49%	Mortierella_sp|SH214852.06FU	39%
ASV_2530	-	Fungi	100%	Basidiomycota	93%	Agaricomycetes	93%	Agaricomycetes_unidentified	55%	Agaricomycetes_unidentified_1	55%	Agaricomycetes_unidentified_1	55%	Agaricomycetes_sp|SH199701.06FU	55%
ASV_2531	+	Fungi	100%	Basidiomycota	98%	Agaricomycetes	96%	Agaricales	96%	Strophariaceae	75%	Psilocybe	75%	Psilocybe_cf_subviscida/crobula_X_45|SH218689.06FU	74%
ASV_2532	+	Fungi	100%	Basidiomycota	98%	Agaricomycetes	98%	Agaricales	98%	Psathyrellaceae	98%	Coprinellus	98%	Coprinellus_sp|SH199708.06FU	85%
ASV_2533	+	Fungi	100%	Ascomycota	99%	Sordariomycetes	99%	Hypocreales	99%	Hypocreales_unidentified	71%	Hypocreales_unidentified_1	71%	Hypocreales_sp|SH233685.06FU	71%
ASV_2534	+	Fungi	100%	Basidiomycota	100%	Agaricomycetes	100%	Agaricales	100%	Typhulaceae	100%	Typhula	100%	Typhula_sp_UW98_G4|SH208568.06FU	100%
ASV_2535	-	Fungi	100%	Basidiomycota	91%	Agaricomycetes	90%	Agaricomycetes_unidentified	54%	Agaricomycetes_unidentified_1	54%	Agaricomycetes_unidentified_1	54%	Agaricomycetes_sp|SH199701.06FU	54%
ASV_2536	-	Fungi	100%	Zygomycota	58%	Incertae_sedis_10	58%	Mortierellales	58%	Mortierellaceae	58%	Mortierella	58%	Mortierella_sp|SH214852.06FU	40%
ASV_2537	-	Fungi	100%	Ascomycota	97%	Eurotiomycetes	94%	Chaetothyriales	94%	Herpotrichiellaceae	94%	Exophiala	93%	Exophiala_sp|SH230202.06FU	85%
