	CS1-Fungus	CS2-Fungus	CS3-Fungus	FS1-Fungus	FS2-Fungus	FS3-Fungus	SC1-Fungus	SC2-Fungus	SC3-Fungus	WS1-Fungus	WS2-Fungus	WS3-Fungus
ASV_1316	0	0	0	97	0	0	0	0	0	0	0	0
ASV_1317	0	0	0	95	0	0	0	0	2	0	0	0
ASV_1318	0	0	0	14	83	0	0	0	0	0	0	0
ASV_1319	0	0	0	0	54	43	0	0	0	0	0	0
ASV_1320	0	0	0	0	35	62	0	0	0	0	0	0
ASV_1321	0	0	0	0	0	0	24	28	45	0	0	0
ASV_1322	0	0	0	0	0	0	0	0	97	0	0	0
ASV_1323	0	0	0	0	0	0	0	0	0	97	0	0
ASV_1324	3	15	10	0	59	0	9	0	0	0	0	0
ASV_1325	0	21	0	0	0	0	0	0	0	75	0	0
ASV_1326	0	0	0	65	0	31	0	0	0	0	0	0
ASV_1327	0	0	0	0	0	96	0	0	0	0	0	0
ASV_1328	95	0	0	0	0	0	0	0	0	0	0	0
ASV_1329	12	0	83	0	0	0	0	0	0	0	0	0
ASV_1330	0	95	0	0	0	0	0	0	0	0	0	0
ASV_1331	0	22	0	25	0	21	0	0	7	0	6	14
ASV_1332	0	11	0	0	84	0	0	0	0	0	0	0
ASV_1333	0	0	13	0	0	0	0	0	45	0	0	37
ASV_1334	0	0	0	46	25	0	4	0	0	0	5	15
ASV_1335	0	0	0	0	95	0	0	0	0	0	0	0
ASV_1336	0	0	0	0	0	0	11	8	76	0	0	0
ASV_1337	0	0	0	0	0	0	0	16	66	0	0	13
ASV_1338	0	0	0	0	0	0	0	0	0	4	0	91
ASV_1339	0	0	0	0	0	0	0	0	0	0	0	95
ASV_1340	0	5	0	14	13	0	7	10	45	0	0	0
ASV_1341	0	0	94	0	0	0	0	0	0	0	0	0
ASV_1342	0	0	0	53	41	0	0	0	0	0	0	0
ASV_1343	0	0	0	52	24	18	0	0	0	0	0	0
ASV_1344	0	0	0	47	47	0	0	0	0	0	0	0
ASV_1345	0	0	0	23	64	0	0	0	7	0	0	0
ASV_1346	0	0	0	0	33	43	0	0	0	18	0	0
ASV_1347	0	0	0	0	0	0	40	51	3	0	0	0
ASV_1348	15	29	34	0	0	0	0	0	0	11	4	0
ASV_1349	0	0	24	0	0	0	0	0	0	21	22	26
ASV_1350	0	0	0	70	0	0	0	5	9	0	0	9
ASV_1351	0	0	0	39	41	13	0	0	0	0	0	0
ASV_1352	0	0	0	22	16	55	0	0	0	0	0	0
ASV_1353	0	0	0	17	17	0	29	30	0	0	0	0
ASV_1354	0	0	0	0	93	0	0	0	0	0	0	0
ASV_1355	0	0	0	0	93	0	0	0	0	0	0	0
ASV_1356	0	0	0	0	0	93	0	0	0	0	0	0
ASV_1357	0	0	0	0	0	0	48	45	0	0	0	0
ASV_1358	0	0	0	0	0	0	0	0	0	46	47	0
ASV_1359	0	58	0	0	0	34	0	0	0	0	0	0
ASV_1360	0	36	0	0	0	0	0	0	56	0	0	0
ASV_1361	0	10	0	0	0	0	0	0	0	0	82	0
ASV_1362	0	0	0	92	0	0	0	0	0	0	0	0
ASV_1363	0	0	0	58	34	0	0	0	0	0	0	0
ASV_1364	29	17	45	0	0	0	0	0	0	0	0	0
ASV_1365	0	9	0	0	0	0	37	45	0	0	0	0
ASV_1366	0	0	0	17	34	0	0	0	0	0	40	0
ASV_1367	0	0	0	0	91	0	0	0	0	0	0	0
ASV_1368	0	0	0	0	0	91	0	0	0	0	0	0
ASV_1369	0	0	0	0	0	0	27	30	23	11	0	0
ASV_1370	0	0	0	0	0	0	0	0	0	0	0	91
ASV_1371	0	15	0	0	0	0	28	24	19	4	0	0
ASV_1372	0	0	0	90	0	0	0	0	0	0	0	0
ASV_1373	0	0	0	90	0	0	0	0	0	0	0	0
ASV_1374	0	0	0	0	90	0	0	0	0	0	0	0
ASV_1375	0	0	0	0	0	0	46	44	0	0	0	0
ASV_1376	0	0	0	0	0	0	25	17	48	0	0	0
ASV_1377	0	0	0	30	59	0	0	0	0	0	0	0
ASV_1378	0	0	0	28	17	15	0	0	5	0	12	12
ASV_1379	0	0	0	0	41	48	0	0	0	0	0	0
ASV_1380	0	0	0	0	0	0	0	0	0	17	0	72
ASV_1381	17	12	32	0	0	0	0	0	8	11	0	8
ASV_1382	0	42	38	0	0	0	0	0	0	0	8	0
ASV_1383	0	12	0	0	0	0	0	0	0	0	0	76
ASV_1384	0	0	23	44	0	0	0	4	0	0	0	17
ASV_1385	0	0	0	88	0	0	0	0	0	0	0	0
ASV_1386	0	0	0	16	55	17	0	0	0	0	0	0
ASV_1387	0	0	0	14	56	18	0	0	0	0	0	0
ASV_1388	0	0	0	0	88	0	0	0	0	0	0	0
ASV_1389	0	0	0	0	33	0	2	0	53	0	0	0
ASV_1390	0	0	0	0	26	62	0	0	0	0	0	0
ASV_1391	0	0	0	0	21	0	0	0	67	0	0	0
ASV_1392	0	0	0	0	18	64	0	0	0	6	0	0
ASV_1393	0	0	0	0	0	0	41	47	0	0	0	0
ASV_1394	0	0	0	0	0	0	28	19	41	0	0	0
ASV_1395	0	0	0	0	0	0	0	0	88	0	0	0
ASV_1396	8	0	5	0	0	0	0	0	0	0	74	0
ASV_1397	0	0	0	87	0	0	0	0	0	0	0	0
ASV_1398	0	0	0	0	69	0	0	0	18	0	0	0
ASV_1399	0	0	0	0	0	87	0	0	0	0	0	0
ASV_1400	0	0	0	0	0	0	22	27	10	14	14	0
ASV_1401	0	0	0	0	0	0	7	8	72	0	0	0
ASV_1402	0	0	0	0	0	0	0	0	0	0	0	87
ASV_1403	0	35	26	0	0	20	0	0	0	5	0	0
ASV_1404	0	0	0	86	0	0	0	0	0	0	0	0
ASV_1405	0	0	0	40	46	0	0	0	0	0	0	0
ASV_1406	0	0	0	6	0	39	14	17	10	0	0	0
ASV_1407	0	0	0	0	0	0	21	42	23	0	0	0
ASV_1408	0	0	0	0	0	0	0	0	0	86	0	0
ASV_1409	0	39	0	0	0	0	0	0	30	0	16	0
ASV_1410	0	0	85	0	0	0	0	0	0	0	0	0
ASV_1411	0	0	21	0	15	0	0	0	0	0	35	14
ASV_1412	0	0	0	40	24	21	0	0	0	0	0	0
ASV_1413	0	0	0	24	61	0	0	0	0	0	0	0
ASV_1414	0	0	0	4	35	46	0	0	0	0	0	0
ASV_1415	0	0	0	0	85	0	0	0	0	0	0	0
ASV_1416	0	0	0	0	51	34	0	0	0	0	0	0
ASV_1417	0	0	0	0	0	85	0	0	0	0	0	0
ASV_1418	0	0	0	0	0	0	0	0	0	25	31	29
ASV_1419	0	0	0	0	0	0	0	0	0	0	0	85
ASV_1420	0	84	0	0	0	0	0	0	0	0	0	0
ASV_1421	0	18	14	0	0	0	0	0	0	5	15	32
ASV_1422	0	5	6	0	0	0	0	0	15	48	3	7
ASV_1423	0	0	15	10	8	0	0	0	13	17	12	9
ASV_1424	0	0	0	84	0	0	0	0	0	0	0	0
ASV_1425	0	0	0	0	84	0	0	0	0	0	0	0
ASV_1426	0	0	0	0	0	0	0	13	30	26	15	0
ASV_1427	0	0	56	0	0	0	0	0	0	27	0	0
ASV_1428	0	0	0	83	0	0	0	0	0	0	0	0
ASV_1429	0	0	0	83	0	0	0	0	0	0	0	0
ASV_1430	0	0	0	0	83	0	0	0	0	0	0	0
ASV_1431	0	0	0	0	0	0	45	38	0	0	0	0
ASV_1432	0	0	0	0	0	0	36	47	0	0	0	0
ASV_1433	0	0	0	0	0	0	17	11	18	0	34	3
ASV_1434	0	0	0	0	0	0	0	0	0	59	24	0
ASV_1435	0	0	0	0	0	0	0	0	0	14	32	37
ASV_1436	0	0	0	0	0	0	0	0	0	0	35	48
ASV_1437	0	15	0	0	0	0	0	0	0	0	20	47
ASV_1438	0	0	35	8	0	0	19	0	20	0	0	0
ASV_1439	0	0	0	38	0	0	0	0	44	0	0	0
ASV_1440	0	0	0	9	39	0	8	8	18	0	0	0
ASV_1441	0	0	0	0	82	0	0	0	0	0	0	0
ASV_1442	0	0	0	0	15	0	0	0	7	0	15	45
ASV_1443	0	0	0	0	0	0	41	41	0	0	0	0
ASV_1444	0	0	0	0	0	0	40	0	42	0	0	0
ASV_1445	0	0	0	0	0	0	0	0	25	0	30	27
ASV_1446	39	0	0	0	0	0	0	0	42	0	0	0
ASV_1447	24	19	38	0	0	0	0	0	0	0	0	0
ASV_1448	9	15	18	11	14	9	0	0	0	0	0	5
ASV_1449	0	13	7	15	0	0	0	0	9	13	0	24
ASV_1450	0	0	0	81	0	0	0	0	0	0	0	0
ASV_1451	0	0	0	75	0	6	0	0	0	0	0	0
ASV_1452	0	0	0	39	33	0	9	0	0	0	0	0
ASV_1453	0	0	0	20	41	20	0	0	0	0	0	0
ASV_1454	0	0	0	19	41	8	0	0	13	0	0	0
ASV_1455	0	0	0	0	45	36	0	0	0	0	0	0
ASV_1456	0	0	0	0	34	0	7	20	20	0	0	0
ASV_1457	0	0	0	0	5	0	31	27	18	0	0	0
ASV_1458	0	0	0	0	0	0	6	0	75	0	0	0
ASV_1459	0	0	0	0	0	0	0	0	0	0	54	27
ASV_1460	7	23	42	0	0	0	0	0	0	0	8	0
ASV_1461	6	0	0	0	9	0	21	16	28	0	0	0
ASV_1462	0	18	0	0	0	13	0	0	0	13	23	13
ASV_1463	0	0	7	0	0	0	5	5	15	8	28	12
ASV_1464	0	0	0	80	0	0	0	0	0	0	0	0
ASV_1465	0	0	0	44	0	0	0	0	0	9	8	19
ASV_1466	0	0	0	39	41	0	0	0	0	0	0	0
ASV_1467	0	0	0	36	44	0	0	0	0	0	0	0
ASV_1468	0	0	0	35	13	32	0	0	0	0	0	0
ASV_1469	0	0	0	0	80	0	0	0	0	0	0	0
ASV_1470	0	0	0	0	0	0	42	38	0	0	0	0
ASV_1471	0	0	0	0	0	0	0	0	80	0	0	0
ASV_1472	0	0	0	0	0	0	0	0	0	0	44	36
ASV_1473	0	0	0	0	0	0	0	0	0	0	37	43
ASV_1474	21	0	17	0	15	0	0	11	2	0	3	10
ASV_1475	0	42	0	0	0	0	0	0	37	0	0	0
ASV_1476	0	0	0	79	0	0	0	0	0	0	0	0
ASV_1477	0	0	0	13	21	45	0	0	0	0	0	0
ASV_1478	0	0	0	0	79	0	0	0	0	0	0	0
ASV_1479	0	0	0	0	0	15	0	0	5	14	32	13
ASV_1480	0	0	0	0	0	0	41	38	0	0	0	0
ASV_1481	0	0	0	0	0	0	40	39	0	0	0	0
ASV_1482	0	0	0	0	0	0	24	30	25	0	0	0
ASV_1483	0	0	0	0	0	0	0	0	45	0	0	34
ASV_1484	0	0	0	0	0	0	0	0	0	18	0	61
ASV_1485	6	0	72	0	0	0	0	0	0	0	0	0
ASV_1486	0	0	39	0	0	0	0	0	0	0	39	0
ASV_1487	0	0	10	3	4	0	0	0	16	0	21	24
ASV_1488	0	0	8	0	4	0	7	9	35	0	0	15
ASV_1489	0	0	0	78	0	0	0	0	0	0	0	0
ASV_1490	0	0	0	0	78	0	0	0	0	0	0	0
ASV_1491	0	0	0	0	0	0	36	42	0	0	0	0
ASV_1492	0	0	0	0	0	0	9	0	69	0	0	0
ASV_1493	58	19	0	0	0	0	0	0	0	0	0	0
ASV_1494	11	0	19	0	0	13	11	11	0	0	9	3
ASV_1495	0	77	0	0	0	0	0	0	0	0	0	0
ASV_1496	0	24	0	0	0	0	0	0	0	53	0	0
ASV_1497	0	0	6	0	0	0	0	0	0	71	0	0
ASV_1498	0	0	0	71	0	0	0	6	0	0	0	0
ASV_1499	0	0	0	30	19	28	0	0	0	0	0	0
ASV_1500	0	0	0	0	77	0	0	0	0	0	0	0
ASV_1501	0	0	0	0	77	0	0	0	0	0	0	0
ASV_1502	0	0	0	0	0	0	26	32	11	8	0	0
ASV_1503	0	0	0	0	0	0	15	13	49	0	0	0
ASV_1504	0	0	0	0	0	0	0	0	0	77	0	0
ASV_1505	0	0	0	0	0	0	0	0	0	0	77	0
ASV_1506	0	39	37	0	0	0	0	0	0	0	0	0
ASV_1507	0	17	59	0	0	0	0	0	0	0	0	0
ASV_1508	0	6	0	0	0	0	0	0	70	0	0	0
ASV_1509	0	0	16	24	19	0	9	0	0	0	0	8
ASV_1510	0	0	0	18	54	0	0	0	4	0	0	0
ASV_1511	0	0	0	0	76	0	0	0	0	0	0	0
ASV_1512	0	0	0	0	53	23	0	0	0	0	0	0
ASV_1513	0	0	0	0	7	22	8	8	13	0	0	18
ASV_1514	0	0	0	0	0	76	0	0	0	0	0	0
ASV_1515	0	0	0	0	0	39	0	0	0	37	0	0
ASV_1516	0	0	0	0	0	0	36	35	5	0	0	0
ASV_1517	0	0	0	0	0	0	27	26	23	0	0	0
ASV_1518	0	0	0	0	0	0	6	0	0	60	0	10
ASV_1519	0	0	0	0	0	0	0	0	0	65	11	0
ASV_1520	0	0	0	0	0	0	0	0	0	40	10	26
ASV_1521	0	0	0	0	0	0	0	0	0	0	0	76
ASV_1522	10	0	44	0	0	0	0	0	0	0	21	0
ASV_1523	9	0	0	0	0	0	0	0	0	0	39	27
ASV_1524	6	0	0	0	0	0	0	0	0	0	48	21
ASV_1525	4	12	0	0	0	15	22	13	0	0	0	9
ASV_1526	3	0	0	0	72	0	0	0	0	0	0	0
ASV_1527	0	0	0	75	0	0	0	0	0	0	0	0
ASV_1528	0	0	0	75	0	0	0	0	0	0	0	0
ASV_1529	0	0	0	17	0	0	40	0	18	0	0	0
ASV_1530	0	0	0	0	48	27	0	0	0	0	0	0
ASV_1531	0	0	0	0	0	75	0	0	0	0	0	0
ASV_1532	0	0	0	0	0	0	42	33	0	0	0	0
ASV_1533	0	0	0	0	0	0	0	0	75	0	0	0
ASV_1534	0	0	0	0	0	0	0	0	0	19	9	47
ASV_1535	0	0	0	0	0	0	0	0	0	0	31	44
ASV_1536	17	0	0	36	21	0	0	0	0	0	0	0
ASV_1537	0	11	0	0	0	0	11	19	0	13	0	20
ASV_1538	0	7	0	0	25	0	0	0	0	24	0	18
ASV_1539	0	0	0	62	0	1	0	11	0	0	0	0
ASV_1540	0	0	0	0	0	74	0	0	0	0	0	0
ASV_1541	0	0	0	0	0	0	0	74	0	0	0	0
ASV_1542	0	0	0	0	0	0	0	0	74	0	0	0
ASV_1543	0	0	0	0	0	0	0	0	0	0	74	0
ASV_1544	0	0	0	0	0	0	0	0	0	0	74	0
ASV_1545	51	4	18	0	0	0	0	0	0	0	0	0
ASV_1546	0	0	56	0	0	0	0	0	0	0	17	0
ASV_1547	0	0	0	51	0	22	0	0	0	0	0	0
ASV_1548	0	0	0	47	26	0	0	0	0	0	0	0
ASV_1549	0	0	0	0	73	0	0	0	0	0	0	0
ASV_1550	0	0	0	0	0	73	0	0	0	0	0	0
ASV_1551	0	0	0	0	0	21	28	24	0	0	0	0
ASV_1552	0	0	0	0	0	0	12	23	38	0	0	0
ASV_1553	0	0	0	0	0	0	0	0	73	0	0	0
ASV_1554	0	0	0	0	0	0	0	0	0	73	0	0
ASV_1555	0	0	0	0	0	0	0	0	0	0	73	0
ASV_1556	0	0	0	0	0	0	0	0	0	0	46	27
ASV_1557	0	0	0	0	0	0	0	0	0	0	0	73
ASV_1558	29	13	30	0	0	0	0	0	0	0	0	0
ASV_1559	17	0	0	0	0	0	0	0	0	0	55	0
ASV_1560	0	0	72	0	0	0	0	0	0	0	0	0
ASV_1561	0	0	0	72	0	0	0	0	0	0	0	0
ASV_1562	0	0	0	39	33	0	0	0	0	0	0	0
ASV_1563	0	0	0	27	0	27	6	5	0	0	0	7
ASV_1564	0	0	0	16	41	15	0	0	0	0	0	0
ASV_1565	0	0	0	0	17	55	0	0	0	0	0	0
ASV_1566	0	0	0	0	4	54	0	0	14	0	0	0
ASV_1567	0	0	0	0	0	72	0	0	0	0	0	0
ASV_1568	0	0	0	0	0	0	44	28	0	0	0	0
ASV_1569	0	0	0	0	0	0	36	33	3	0	0	0
ASV_1570	0	0	0	0	0	0	0	0	0	0	72	0
ASV_1571	5	5	21	33	7	0	0	0	0	0	0	0
ASV_1572	0	71	0	0	0	0	0	0	0	0	0	0
ASV_1573	0	50	0	0	0	0	0	0	0	0	0	21
ASV_1574	0	0	71	0	0	0	0	0	0	0	0	0
ASV_1575	0	0	12	0	16	7	0	0	11	0	13	12
ASV_1576	0	0	9	38	0	15	0	0	0	0	0	9
ASV_1577	0	0	0	71	0	0	0	0	0	0	0	0
ASV_1578	0	0	0	44	18	0	0	0	0	0	9	0
ASV_1579	0	0	0	35	24	0	0	0	12	0	0	0
ASV_1580	0	0	0	34	0	22	0	9	6	0	0	0
ASV_1581	0	0	0	21	36	14	0	0	0	0	0	0
ASV_1582	0	0	0	9	11	0	21	19	11	0	0	0
ASV_1583	0	0	0	0	0	71	0	0	0	0	0	0
ASV_1584	0	0	0	0	0	0	11	30	30	0	0	0
ASV_1585	0	0	0	0	0	0	0	13	5	0	44	9
ASV_1586	0	0	0	0	0	0	0	0	0	17	15	39
ASV_1587	0	0	0	0	0	0	0	0	0	0	0	71
ASV_1588	0	25	0	0	0	0	0	3	0	22	20	0
ASV_1589	0	15	0	0	0	0	0	0	7	11	16	21
ASV_1590	0	0	0	23	47	0	0	0	0	0	0	0
ASV_1591	0	0	0	0	70	0	0	0	0	0	0	0
ASV_1592	0	0	0	0	26	41	3	0	0	0	0	0
ASV_1593	0	0	0	0	0	0	0	0	70	0	0	0
ASV_1594	0	0	0	0	0	0	0	0	0	0	0	70
ASV_1595	0	15	0	0	0	0	0	0	14	0	0	40
ASV_1596	0	12	0	29	0	0	0	0	0	11	17	0
ASV_1597	0	0	0	69	0	0	0	0	0	0	0	0
ASV_1598	0	0	0	51	6	12	0	0	0	0	0	0
ASV_1599	0	0	0	10	0	0	30	29	0	0	0	0
ASV_1600	0	0	0	0	69	0	0	0	0	0	0	0
ASV_1601	0	0	0	0	26	0	0	0	10	0	0	33
ASV_1602	0	0	0	0	0	0	44	25	0	0	0	0
ASV_1603	0	0	0	0	0	0	32	37	0	0	0	0
ASV_1604	0	0	0	0	0	0	0	0	0	69	0	0
ASV_1605	0	68	0	0	0	0	0	0	0	0	0	0
ASV_1606	0	68	0	0	0	0	0	0	0	0	0	0
ASV_1607	0	49	19	0	0	0	0	0	0	0	0	0
ASV_1608	0	0	2	10	0	0	12	19	25	0	0	0
ASV_1609	0	0	0	68	0	0	0	0	0	0	0	0
ASV_1610	0	0	0	68	0	0	0	0	0	0	0	0
ASV_1611	0	0	0	26	18	9	0	0	15	0	0	0
ASV_1612	0	0	0	0	68	0	0	0	0	0	0	0
ASV_1613	0	0	0	0	68	0	0	0	0	0	0	0
ASV_1614	0	0	0	0	68	0	0	0	0	0	0	0
ASV_1615	0	0	0	0	11	0	0	0	10	42	5	0
ASV_1616	0	0	0	0	0	0	34	34	0	0	0	0
ASV_1617	0	0	0	0	0	0	0	0	0	27	41	0
ASV_1618	0	14	6	0	0	0	0	0	0	15	16	16
ASV_1619	0	0	67	0	0	0	0	0	0	0	0	0
ASV_1620	0	0	0	60	0	0	0	0	0	0	0	7
ASV_1621	0	0	0	49	0	0	0	0	0	0	18	0
ASV_1622	0	0	0	20	0	0	0	47	0	0	0	0
ASV_1623	0	0	0	15	38	14	0	0	0	0	0	0
ASV_1624	0	0	0	0	56	11	0	0	0	0	0	0
ASV_1625	0	0	0	0	0	67	0	0	0	0	0	0
ASV_1626	0	0	0	0	0	0	36	31	0	0	0	0
ASV_1627	0	0	0	0	0	0	0	29	38	0	0	0
ASV_1628	0	0	0	0	0	0	0	0	0	0	67	0
ASV_1629	0	0	0	0	0	0	0	0	0	0	0	67
ASV_1630	13	53	0	0	0	0	0	0	0	0	0	0
ASV_1631	13	0	0	53	0	0	0	0	0	0	0	0
ASV_1632	5	0	0	0	39	0	0	0	0	22	0	0
ASV_1633	0	12	0	0	0	0	0	0	0	47	0	7
ASV_1634	0	7	59	0	0	0	0	0	0	0	0	0
ASV_1635	0	0	0	66	0	0	0	0	0	0	0	0
ASV_1636	0	0	0	0	66	0	0	0	0	0	0	0
ASV_1637	0	0	0	0	40	26	0	0	0	0	0	0
ASV_1638	0	0	0	0	0	43	0	0	23	0	0	0
ASV_1639	0	0	0	0	0	0	35	31	0	0	0	0
ASV_1640	6	0	9	0	50	0	0	0	0	0	0	0
ASV_1641	0	8	0	30	0	0	0	0	0	11	5	11
ASV_1642	0	0	65	0	0	0	0	0	0	0	0	0
ASV_1643	0	0	65	0	0	0	0	0	0	0	0	0
ASV_1644	0	0	11	36	0	0	5	0	0	0	8	5
ASV_1645	0	0	0	54	11	0	0	0	0	0	0	0
ASV_1646	0	0	0	42	0	23	0	0	0	0	0	0
ASV_1647	0	0	0	41	0	24	0	0	0	0	0	0
ASV_1648	0	0	0	36	20	9	0	0	0	0	0	0
ASV_1649	0	0	0	32	0	0	0	0	33	0	0	0
ASV_1650	0	0	0	4	25	36	0	0	0	0	0	0
ASV_1651	0	0	0	0	65	0	0	0	0	0	0	0
ASV_1652	0	0	0	0	65	0	0	0	0	0	0	0
ASV_1653	0	0	0	0	22	0	7	0	24	12	0	0
ASV_1654	0	0	0	0	16	33	0	0	10	0	0	6
ASV_1655	0	0	0	0	11	0	11	12	31	0	0	0
ASV_1656	0	0	0	0	0	20	0	0	0	14	20	11
ASV_1657	0	0	0	0	0	0	0	0	0	0	65	0
ASV_1658	0	0	64	0	0	0	0	0	0	0	0	0
ASV_1659	0	0	24	0	0	0	3	5	0	14	15	3
ASV_1660	0	0	24	0	0	0	0	0	0	0	0	40
ASV_1661	0	0	10	54	0	0	0	0	0	0	0	0
ASV_1662	0	0	0	64	0	0	0	0	0	0	0	0
ASV_1663	0	0	0	64	0	0	0	0	0	0	0	0
ASV_1664	0	0	0	64	0	0	0	0	0	0	0	0
ASV_1665	0	0	0	64	0	0	0	0	0	0	0	0
ASV_1666	0	0	0	24	0	40	0	0	0	0	0	0
ASV_1667	0	0	0	0	64	0	0	0	0	0	0	0
ASV_1668	0	0	0	0	0	64	0	0	0	0	0	0
ASV_1669	0	0	0	0	0	64	0	0	0	0	0	0
ASV_1670	0	0	0	0	0	49	0	0	0	0	15	0
ASV_1671	0	0	0	0	0	25	0	0	0	0	0	39
ASV_1672	0	0	0	0	0	0	0	0	10	0	54	0
ASV_1673	0	0	0	0	0	0	0	0	0	50	14	0
ASV_1674	0	0	0	0	0	0	0	0	0	40	24	0
ASV_1675	0	0	0	0	0	0	0	0	0	0	0	64
ASV_1676	9	6	0	7	23	15	0	3	0	0	0	0
ASV_1677	0	0	63	0	0	0	0	0	0	0	0	0
ASV_1678	0	0	0	63	0	0	0	0	0	0	0	0
ASV_1679	0	0	0	63	0	0	0	0	0	0	0	0
ASV_1680	0	0	0	34	0	29	0	0	0	0	0	0
ASV_1681	0	0	0	21	42	0	0	0	0	0	0	0
ASV_1682	0	0	0	0	0	0	21	28	14	0	0	0
ASV_1683	0	0	0	0	0	0	0	0	63	0	0	0
ASV_1684	0	0	0	0	0	0	0	0	0	63	0	0
ASV_1685	0	0	0	0	0	0	0	0	0	0	0	63
ASV_1686	0	0	18	0	0	17	0	8	19	0	0	0
ASV_1687	0	0	8	0	0	0	0	0	18	0	0	36
ASV_1688	0	0	5	0	12	29	0	0	0	10	6	0
ASV_1689	0	0	0	62	0	0	0	0	0	0	0	0
ASV_1690	0	0	0	27	0	0	0	0	0	0	23	12
ASV_1691	0	0	0	21	12	29	0	0	0	0	0	0
ASV_1692	0	0	0	14	48	0	0	0	0	0	0	0
ASV_1693	0	0	0	0	47	0	0	15	0	0	0	0
ASV_1694	0	0	0	0	0	22	6	8	26	0	0	0
ASV_1695	0	0	0	0	0	0	0	0	0	0	62	0
ASV_1696	0	0	0	0	0	0	0	0	0	0	0	62
ASV_1697	0	0	41	20	0	0	0	0	0	0	0	0
ASV_1698	0	0	8	0	28	0	9	7	9	0	0	0
ASV_1699	0	0	0	61	0	0	0	0	0	0	0	0
ASV_1700	0	0	0	33	28	0	0	0	0	0	0	0
ASV_1701	0	0	0	8	37	0	0	0	6	0	0	10
ASV_1702	0	0	0	0	61	0	0	0	0	0	0	0
ASV_1703	0	0	0	0	36	0	0	0	25	0	0	0
ASV_1704	0	0	0	0	35	3	10	8	0	5	0	0
ASV_1705	0	0	0	0	17	44	0	0	0	0	0	0
ASV_1706	0	0	0	0	0	0	0	0	61	0	0	0
ASV_1707	0	0	0	0	0	0	0	0	0	61	0	0
ASV_1708	0	0	0	0	0	0	0	0	0	23	12	26
ASV_1709	60	0	0	0	0	0	0	0	0	0	0	0
ASV_1710	8	0	0	0	0	0	19	21	0	0	0	12
ASV_1711	8	0	0	46	0	0	0	0	0	0	6	0
ASV_1712	0	0	0	60	0	0	0	0	0	0	0	0
ASV_1713	0	0	0	31	0	23	0	0	0	0	6	0
ASV_1714	0	0	0	25	15	17	0	0	0	0	3	0
ASV_1715	0	0	0	23	0	37	0	0	0	0	0	0
ASV_1716	0	0	0	22	26	12	0	0	0	0	0	0
ASV_1717	0	0	0	0	60	0	0	0	0	0	0	0
ASV_1718	0	0	0	0	60	0	0	0	0	0	0	0
ASV_1719	0	0	0	0	51	9	0	0	0	0	0	0
ASV_1720	0	0	0	0	0	50	0	0	10	0	0	0
ASV_1721	0	0	0	0	0	0	30	30	0	0	0	0
ASV_1722	0	0	0	0	0	0	17	20	23	0	0	0
ASV_1723	0	0	0	0	0	0	0	0	60	0	0	0
ASV_1724	0	35	0	0	0	0	0	0	0	0	0	24
ASV_1725	0	15	0	0	18	13	0	0	0	13	0	0
ASV_1726	0	0	0	25	34	0	0	0	0	0	0	0
ASV_1727	0	0	0	0	27	0	16	16	0	0	0	0
ASV_1728	0	0	0	0	14	0	29	16	0	0	0	0
ASV_1729	0	0	0	0	7	0	19	18	0	0	15	0
ASV_1730	0	0	0	0	0	59	0	0	0	0	0	0
ASV_1731	0	0	0	0	0	51	0	0	8	0	0	0
ASV_1732	0	0	0	0	0	0	29	30	0	0	0	0
ASV_1733	0	0	0	0	0	0	20	0	24	0	15	0
ASV_1734	0	0	0	0	0	0	0	0	59	0	0	0
ASV_1735	0	0	0	0	0	0	0	0	59	0	0	0
ASV_1736	0	0	0	0	0	0	0	0	0	0	59	0
ASV_1737	58	0	0	0	0	0	0	0	0	0	0	0
ASV_1738	8	50	0	0	0	0	0	0	0	0	0	0
ASV_1739	0	58	0	0	0	0	0	0	0	0	0	0
ASV_1740	0	30	0	0	0	0	0	0	0	0	0	28
ASV_1741	0	0	7	0	0	0	0	0	0	0	0	51
ASV_1742	0	0	0	58	0	0	0	0	0	0	0	0
ASV_1743	0	0	0	58	0	0	0	0	0	0	0	0
ASV_1744	0	0	0	17	0	0	0	0	5	0	0	36
ASV_1745	0	0	0	16	28	14	0	0	0	0	0	0
ASV_1746	0	0	0	14	31	0	0	0	0	0	0	13
ASV_1747	0	0	0	0	58	0	0	0	0	0	0	0
ASV_1748	0	0	0	0	48	0	0	0	0	0	10	0
ASV_1749	0	0	0	0	15	43	0	0	0	0	0	0
ASV_1750	0	0	0	0	0	58	0	0	0	0	0	0
ASV_1751	0	0	0	0	0	58	0	0	0	0	0	0
ASV_1752	0	0	0	0	0	58	0	0	0	0	0	0
ASV_1753	0	0	0	0	0	0	31	27	0	0	0	0
ASV_1754	0	0	0	0	0	0	0	0	0	0	58	0
ASV_1755	0	0	0	0	0	0	0	0	0	0	0	58
ASV_1756	57	0	0	0	0	0	0	0	0	0	0	0
ASV_1757	34	0	23	0	0	0	0	0	0	0	0	0
ASV_1758	12	0	0	0	0	0	24	21	0	0	0	0
ASV_1759	10	10	6	0	9	0	6	3	0	13	0	0
ASV_1760	0	57	0	0	0	0	0	0	0	0	0	0
ASV_1761	0	30	0	0	0	0	12	0	0	0	0	15
ASV_1762	0	29	2	0	0	0	0	0	0	0	26	0
ASV_1763	0	16	8	0	9	10	0	4	0	6	4	0
