	CS1-Fungus	CS2-Fungus	CS3-Fungus	FS1-Fungus	FS2-Fungus	FS3-Fungus	SC1-Fungus	SC2-Fungus	SC3-Fungus	WS1-Fungus	WS2-Fungus	WS3-Fungus
ASV_89	0	0	0	635	740	204	1219	1150	857	412	319	573
ASV_90	186	650	1602	788	1153	679	153	160	500	35	40	70
ASV_91	665	2126	51	35	60	208	81	156	2400	111	79	0
ASV_92	0	0	0	0	0	0	339	355	5207	0	0	0
ASV_93	99	800	789	110	49	123	51	57	328	2181	1177	0
ASV_94	280	496	805	74	142	31	398	437	467	447	896	1276
ASV_95	15	181	199	1187	1445	950	567	598	139	10	160	118
ASV_96	147	0	980	0	60	0	143	167	470	2513	1058	0
ASV_97	254	1041	539	166	898	56	66	58	495	337	611	1000
ASV_98	90	465	208	0	0	88	1989	2199	311	57	25	36
ASV_99	266	582	609	489	327	131	455	492	643	177	334	755
ASV_100	113	306	471	312	568	511	40	48	1374	396	494	530
ASV_101	179	382	526	390	635	470	385	389	379	502	445	323
ASV_102	51	184	306	265	872	138	7	8	1087	467	833	758
ASV_103	0	9	45	21	0	22	1734	1706	1336	40	8	24
ASV_104	0	0	0	4159	0	0	227	226	302	0	0	0
ASV_105	88	218	249	665	1313	639	0	0	732	262	399	254
ASV_106	144	489	786	1202	1071	422	115	143	154	0	201	84
ASV_107	172	318	420	0	0	0	1459	1614	365	0	172	194
ASV_108	390	1063	1628	114	187	59	67	79	427	165	215	248
ASV_109	0	0	12	723	2701	1199	0	0	0	0	0	0
ASV_110	23	227	160	1086	1311	580	405	421	147	0	164	96
ASV_111	219	570	479	543	194	103	150	141	564	217	419	1008
ASV_112	0	353	388	0	0	21	1327	1463	486	156	126	235
ASV_113	313	211	370	73	114	15	5	4	1818	116	765	445
ASV_114	169	626	944	524	644	1310	0	0	0	0	0	0
ASV_115	283	290	324	46	88	25	71	59	1984	165	554	276
ASV_116	210	418	279	448	592	109	240	216	1146	66	226	209
ASV_117	0	0	0	505	543	230	381	392	728	321	493	550
ASV_118	121	331	587	230	43	80	599	631	691	96	307	390
ASV_119	0	0	18	920	1625	1473	0	0	0	0	0	0
ASV_120	101	443	299	755	720	329	365	370	191	96	145	221
ASV_121	0	109	0	793	486	295	710	697	929	0	0	0
ASV_122	97	307	255	462	893	518	168	138	260	218	255	414
ASV_123	0	345	66	2381	451	629	12	0	19	0	0	0
ASV_124	79	218	249	454	1120	172	501	505	319	50	151	49
ASV_125	43	183	152	34	0	37	1023	1070	657	125	211	293
ASV_126	101	266	175	355	453	519	449	533	273	84	222	361
ASV_127	0	0	12	873	1554	1344	0	0	0	0	0	0
ASV_128	69	137	274	454	892	549	278	282	521	76	84	151
ASV_129	120	295	490	37	45	0	932	1003	314	96	107	255
ASV_130	160	351	402	332	383	250	217	0	247	464	537	320
ASV_131	195	439	760	118	246	73	295	313	538	257	0	311
ASV_132	0	13	28	309	170	112	998	986	879	22	0	0
ASV_133	124	661	1032	472	545	639	0	0	0	0	0	0
ASV_134	75	385	389	463	409	265	95	94	191	308	407	388
ASV_135	0	0	0	2995	0	0	107	109	255	0	0	0
ASV_136	143	325	461	1042	347	93	118	106	208	176	141	220
ASV_137	0	75	0	0	0	0	0	0	171	439	2410	258
ASV_138	84	460	614	84	71	183	66	67	1440	64	70	143
ASV_139	94	325	565	743	778	254	52	69	150	24	167	104
ASV_140	201	333	635	168	45	100	233	239	409	79	290	521
ASV_141	0	0	0	0	0	0	0	0	0	0	0	3220
ASV_142	0	0	0	776	894	1516	0	0	0	0	0	0
ASV_143	5	335	81	1685	439	565	0	0	51	0	6	0
ASV_144	10	2220	910	0	0	0	0	0	0	0	19	0
ASV_145	104	122	206	261	205	148	155	167	110	452	620	594
ASV_146	0	91	0	0	0	0	0	0	123	261	2435	200
ASV_147	167	340	649	168	88	0	286	285	374	191	127	427
ASV_148	95	183	154	167	1537	253	93	91	255	28	219	26
ASV_149	64	298	255	428	411	417	132	140	186	174	234	356
ASV_150	120	328	149	0	0	37	965	1082	166	59	66	78
ASV_151	70	459	608	0	108	164	111	120	1234	28	41	80
ASV_152	0	0	0	617	895	1196	66	72	177	0	0	0
ASV_153	39	151	201	367	878	509	16	12	363	117	138	170
ASV_154	0	0	0	2885	0	0	0	0	0	0	0	0
ASV_155	0	0	0	394	901	1568	0	0	0	0	0	0
ASV_156	0	529	551	0	0	0	518	594	650	0	0	0
ASV_157	51	299	311	0	0	0	0	0	13	157	1906	56
ASV_158	16	1874	865	0	7	0	0	0	0	0	28	0
ASV_159	0	0	0	11	29	59	0	0	0	604	885	1187
ASV_160	88	242	288	128	253	111	138	164	173	347	448	388
ASV_161	0	0	0	33	0	24	0	0	0	0	0	2684
ASV_162	21	39	69	1034	1071	387	21	22	44	0	0	0
ASV_163	56	53	97	49	203	329	284	285	805	234	100	180
ASV_164	0	0	0	1886	613	174	0	0	0	0	0	0
ASV_165	0	0	0	560	1051	906	0	5	125	0	0	0
ASV_166	23	47	125	154	145	37	93	112	201	208	1005	477
ASV_167	0	0	0	50	3	41	0	0	0	677	897	948
ASV_168	0	0	0	32	0	0	0	0	0	14	0	2561
ASV_169	14	68	84	705	1132	472	32	18	43	0	0	0
ASV_170	185	449	1226	186	127	65	46	55	0	141	0	87
ASV_171	312	48	40	154	295	343	261	292	601	75	80	62
ASV_172	136	250	412	528	276	120	51	44	138	120	236	236
ASV_173	71	109	487	0	292	371	342	326	382	50	0	114
ASV_174	24	106	161	0	69	19	74	55	114	224	1197	424
ASV_175	0	0	0	92	104	104	382	313	1421	0	0	17
ASV_176	215	473	1062	121	82	101	14	0	40	62	138	80
ASV_177	225	1310	179	0	139	25	0	0	507	0	0	0
ASV_178	62	186	269	0	0	0	58	60	36	162	1428	73
ASV_179	65	145	264	275	253	162	44	49	528	183	217	133
ASV_180	0	0	9	530	803	951	0	0	5	0	0	13
ASV_181	86	425	355	336	345	286	167	180	94	0	0	19
ASV_182	53	146	270	0	126	0	0	0	0	105	1502	78
ASV_183	0	0	0	0	0	0	525	533	1222	0	0	0
ASV_184	0	39	0	348	264	1536	0	0	0	8	15	52
ASV_185	213	434	918	111	126	0	0	0	35	120	103	201
ASV_186	0	0	25	495	660	1040	0	0	0	0	0	0
ASV_187	3	7	54	883	236	192	219	260	193	54	75	35
ASV_188	0	0	0	0	15	4	628	808	621	36	33	53
ASV_189	118	66	198	228	133	146	178	186	243	103	100	481
ASV_190	49	260	464	133	241	218	0	0	36	286	269	198
ASV_191	72	275	183	293	265	172	0	0	75	239	390	182
ASV_192	0	9	28	298	242	100	369	348	723	0	0	11
ASV_193	247	266	239	15	37	50	0	0	0	424	83	750
